"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XESY16","NJ","PAS"," ","9168504202"," ","12/16/24","0907A","12/19/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","463","10th Ave","                    ","0014","11010","34470","34490"
"XESY16","NJ","PAS"," ","9174407363"," ","12/17/24","1238P","12/20/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","470","Park Ave","                    ","0014","27790","18130","18150"
"XFEE58","NJ","PAS"," ","9172998520"," ","12/15/24","1140A","12/18/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","N","E 54th St","10ft E/of Lexington","0017","18070","00000","00000"
"XHKT30","NJ","PAS"," ","5800636862"," ","10/16/24","0601P","11/18/24"," ",43,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","NB 1st Ave @ St Mark","s Pl","     ","00000","00000","00000"
"XHUL72","NJ","PAS"," ","5135711053"," ","07/08/24","1101A","07/19/24"," ",7,"              ","          ","10/31/24"," 50","25","  0.95","  0.00","  0.00"," "," 75.95","ST"," ","            ","MILFORD DR (E/B) @ C","LOVE RD","     ","00000","00000","00000"
"XHUL72","NJ","PAS"," ","9172037696"," ","12/14/24","0134P","12/18/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","149","2nd Ave","                    ","0009","10110","17170","17190"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","          ","11/28/24"," 50","25","  0.13","  0.00"," 50.00"," "," 25.13","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","5800578930"," ","10/11/24","0736P","11/12/24"," ",43,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB Hudson St @ Jane","St","     ","00000","00000","00000"
"XNFK96","NJ","PAS"," ","5138220720"," ","11/05/24","0825A","11/21/24"," ",7,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","WEST ST (S/B) @ 14TH"," STREET","     ","00000","00000","00000"
"XNFK96","NJ","PAS"," ","8935246086"," ","12/11/24","1054A","12/16/24","Y",47,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","460","9th Ave","                    ","0014","10910","34470","34490"
"XNFL32","NJ","PAS"," ","9176881088"," ","12/13/24","1043A","12/18/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","S","Beaver St","20ft W/of Hanover St","0001","12950","00000","00000"
"XNFL33","NJ","PAS"," ","5605260182"," ","11/01/24","0553P","11/13/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","EB E 34th St @ Park","Ave","     ","00000","00000","00000"
