"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XADA27","NJ","PAS"," ","4931784380"," ","12/29/24","1049A","01/03/25","Y",36,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2ND AVE @ E 17TH","ST","     ","00000","00000","00000"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XFEE58","NJ","PAS"," ","5801148152"," ","11/24/24","0702P","01/03/25","Y",43,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2nd Ave @ E 54th","St","     ","00000","00000","00000"
"XHUL72","NJ","PAS"," ","9177655849"," ","12/31/24","0913A","01/03/25","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","235","W 42nd St","                    ","0014","34610","10610","10810"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","          ","11/28/24"," 50","25","  0.22","  0.00"," 50.00"," "," 25.22","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","5800578930"," ","10/11/24","0736P","11/12/24"," ",43,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB Hudson St @ Jane","St","     ","00000","00000","00000"
"XKFD30","NJ","PAS"," ","9175536675"," ","12/28/24","1035A","01/02/25","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","O","69","W 48th St","                    ","0018","34730","29900","10510"
"XKFD30","NJ","PAS"," ","9177085115"," ","12/28/24","0350P","01/02/25","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","800","6th Ave","                    ","0013","10510","34310","34330"
"XNFL32","NJ","PAS"," ","9178081427"," ","12/30/24","0946A","01/02/25","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","I","S","Bleecker St","10ft W/of Elizabeth","0009","13310","00000","00000"
"XNFL33","NJ","PAS"," ","5605260182"," ","11/01/24","0553P","11/13/24"," ",12,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","EB E 34th St @ Park","Ave","     ","00000","00000","00000"
"XNFL33","NJ","PAS"," ","9172960929"," ","12/30/24","0240P","01/02/25","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","55","Bethune St","                    ","0006","13210","33390","11115"
