"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XCLN80","NJ","PAS"," ","5604973270"," ","09/16/24","0254P","10/07/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XESY16","NJ","PAS"," ","9162580991"," ","10/23/24","1056A","10/28/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","144","W 43rd St","                    ","0014","34630","10510","13610"
"XESY16","NJ","PAS"," ","9163282033"," ","10/24/24","0342P","10/29/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","39","Barrow St","                    ","0006","12610","13310","13000"
"XFVS31","NJ","PAS"," ","9159297153"," ","10/24/24","1139A","10/29/24","Y",13,"              ","1ST PNLTY","        ","115","0","  0.00"," 30.00","  0.00"," "," 85.00","NY","F","611","8th Ave","                    ","0014","10810","34550","34570"
"XFVS31","NJ","PAS"," ","9164141007"," ","10/25/24","0211P","10/30/24","Y",42,"              ","1ST PNLTY","        "," 65","0","  0.00"," 35.00","  0.00"," "," 30.00","NY","F","220","W 49th St","                    ","0018","34750","13610","10810"
"XHUL72","NJ","PAS"," ","5135711053"," ","07/08/24","1101A","07/19/24"," ",7,"              ","          ","10/31/24"," 50","25","  0.04","  0.00","  0.00"," "," 75.04","ST"," ","            ","MILFORD DR (E/B) @ C","LOVE RD","     ","00000","00000","00000"
"XHUL72","NJ","PAS"," ","9163827360"," ","10/23/24","0257P","10/28/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","36","Peck Slip","                    ","0007","28540","21090","30640"
"XHUL72","NJ","PAS"," ","9165167685"," ","10/29/24","1124A","11/01/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","O","5","E 47th St","                    ","0018","17930","10410","25390"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00"," 50.00"," "," 25.00","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
