"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XCLN80","NJ","PAS"," ","5604973270"," ","09/16/24","0254P","10/07/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XCLN80","NJ","PAS"," ","9157847721"," ","10/30/24","0444P","11/04/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","N","W 39th St","35ft E/of 5th Ave","0014","34550","00000","00000"
"XCLN80","NJ","PAS"," ","9165167788"," ","10/30/24","1124A","11/04/24","Y",31,"              ","1ST PNLTY","        ","115","0","  0.00"," 35.00","  0.00"," "," 80.00","NY","I","N","E 39th St","70ft E/of 5th Ave","0014","17770","00000","00000"
"XESY16","NJ","PAS"," ","9159814275"," ","10/30/24","0200P","11/04/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","30","W 26th St","                    ","0013","34290","13610","10510"
"XESY16","NJ","PAS"," ","9164389250"," ","11/04/24","0315P","11/07/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","233","Park Ave South","                    ","0013","27800","17350","17370"
"XESY16","NJ","PAS"," ","9164389261"," ","11/04/24","0316P","11/07/24","Y",76,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","233","Park Ave South","                    ","0013","27800","17350","17370"
"XESY16","NJ","PAS"," ","9166450536"," ","11/04/24","0141P","11/07/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","W","3rd Ave","50ft S/of E 44th St","0017","10210","00000","00000"
"XFVS31","NJ","PAS"," ","9165146803"," ","11/04/24","1252P","11/07/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","220","W 49th St","                    ","0018","34750","13610","10810"
"XFVS31","NJ","PAS"," ","9161563535"," ","11/05/24","0136P","11/08/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","254","Greene St","                    ","0006","21730","33690","17150"
